# add, depth 1
(~ ((~ v0) + (- (v0 ^ (v0 ^ v1))))), v0 + v1
((~ (v0 ^ (~ (v1 & (~ v1))))) + v1), v0 + v1
((~ (v0 ^ (~ v0))) ^ (v0 + v1)), v0 + v1
(- (v0 + ((- v0) + (- (v0 + v1))))), v0 + v1
(~ (- ((v0 | v1) + (- (~ (v0 & v1)))))), v0 + v1
(((- v0) + (~ (- v0))) & (v0 + v1)), v0 + v1
(~ ((~ (v0 | (v0 & v1))) + (- v1))), v0 + v1
((- (v0 ^ (v0 ^ (- v0)))) + v1), v0 + v1
(v0 + ((~ (v0 | (~ v0))) + v1)), v0 + v1
(((~ v0) ^ (v0 + (~ v0))) + v1), v0 + v1
(~ (((v0 + v1) ^ (~ v1)) ^ v1)), v0 + v1
(~ ((~ (v0 + v1)) & (v1 + (~ v1)))), v0 + v1
((v0 & (~ (v0 | v1))) ^ (v0 + v1)), v0 + v1
(- (((- v0) + (- v0)) + (- ((- v0) + v1)))), v0 + v1
(- (v0 + (- (v0 + (v0 + v1))))), v0 + v1
((v0 & (~ (v0 | v1))) + (v0 + v1)), v0 + v1
(~ ((~ (v0 + (- v1))) + (- (v1 + v1)))), v0 + v1
((v0 & ((- v0) + (~ (- v0)))) + v1), v0 + v1
(~ (~ ((~ (v0 & (~ v0))) & (v0 + v1)))), v0 + v1
((- v0) + (v0 + (v0 + v1))), v0 + v1
(v0 + (- ((~ (v0 ^ (~ v0))) + (- v1)))), v0 + v1
(~ ((- v0) + (v0 + (- ((- (~ v0)) + v1))))), v0 + v1
(v0 + (~ ((v0 | (~ v1)) & (~ v1)))), v0 + v1
((~ v0) ^ (v0 ^ ((- v0) + (~ v1)))), v0 + v1
((v0 | (~ (~ (v1 & (~ v1))))) + v1), v0 + v1
(~ ((- v0) + (v0 + (- (v0 + (- (~ v1))))))), v0 + v1
(~ (((~ v0) & (~ (v0 & v1))) + (- v1))), v0 + v1
((v0 | (~ (v0 ^ (~ v0)))) + v1), v0 + v1
(- ((- v0) + (- v1))), v0 + v1
(- ((v0 + ((- v0) + (- v0))) + (- v1))), v0 + v1
(((v0 + (~ v1)) + v1) + (- (~ v1))), v0 + v1
(v0 + ((~ (v0 & (~ v1))) & v1)), v0 + v1
(~ ((~ (v0 & (v0 | (~ v0)))) + (- v1))), v0 + v1
(v0 + (- ((v0 ^ (~ v0)) & (- v1)))), v0 + v1
(v0 + (v1 | (v1 & (- (~ v1))))), v0 + v1
(~ ((v0 ^ (v1 + (~ v1))) + (- v1))), v0 + v1
((v0 | (v0 & (~ v1))) + v1), v0 + v1
(v0 + (- (~ (v1 + (~ (v1 & (~ v1))))))), v0 + v1
((~ v0) + (- (((~ v0) + (- v1)) + (- v0)))), v0 + v1
(v0 ^ (~ ((~ v0) ^ (v0 + v1)))), v0 + v1
((~ v0) + (- ((- (v0 + v0)) + (~ v1)))), v0 + v1
((- (~ v0)) + (~ (- v1))), v0 + v1
(- (((- v0) + (- (v1 + v1))) + v1)), v0 + v1
(- ((- (v0 + v0)) + (v0 + (- v1)))), v0 + v1
(v0 + ((v0 | (~ v0)) & v1)), v0 + v1
(v0 + (- ((- v1) ^ (~ (v1 | (~ v1)))))), v0 + v1
(~ (~ ((v0 + (~ v0)) & (v0 + v1)))), v0 + v1
((~ v0) + (v0 + (- ((- v0) + (~ v1))))), v0 + v1
(v0 + (- ((~ ((~ v0) + v1)) + (- v0)))), v0 + v1
(~ (((~ (v0 + v1)) ^ v1) ^ v1)), v0 + v1
(- ((- v0) + (v0 + (- (v0 + v1))))), v0 + v1
((v0 + (- ((~ (v0 | v1)) & v1))) + v1), v0 + v1
((~ ((- v0) + (v0 ^ (~ v0)))) + v1), v0 + v1
((v0 + v1) & ((~ (v0 & v1)) | v1)), v0 + v1
((- (((- v0) + (- v1)) + (- v1))) + (- v1)), v0 + v1
((- (~ (v0 + v0))) + (~ (v0 + (- v1)))), v0 + v1
(v0 + (v0 ^ ((~ v0) ^ (~ v1)))), v0 + v1
((~ ((~ v0) + (- v1))) & (v0 + v1)), v0 + v1
(~ ((v0 | (~ v0)) + (- (v0 + v1)))), v0 + v1
(v0 + ((~ (v0 + (~ v0))) | v1)), v0 + v1
((- (~ (v0 | (~ (v0 & v1))))) + (v0 + v1)), v0 + v1
((v0 & (~ ((~ v0) & (- v1)))) + v1), v0 + v1
((((~ v0) ^ (~ v1)) ^ v1) + v1), v0 + v1
(((~ ((~ v0) + (- v1))) + v1) + (- v1)), v0 + v1
(v0 + (v1 | (~ (~ (v1 & (~ v1)))))), v0 + v1
(~ ((~ (v0 | (~ (v0 | (~ v0))))) + (- v1))), v0 + v1
((v0 | (v0 + (- (v0 & v1)))) + v1), v0 + v1
(v0 + ((- (v0 & (~ (v0 | v1)))) + v1)), v0 + v1
(~ ((~ v0) + (- ((- v1) + (v1 + v1))))), v0 + v1
((v0 + (- (~ (v1 + v1)))) + (~ v1)), v0 + v1
(((~ v0) + (- v1)) ^ (~ (v1 & (~ v1)))), v0 + v1
((v0 ^ (~ v0)) ^ (~ (v0 + v1))), v0 + v1
(~ ((- v0) + (~ (((- v0) | v1) & v1)))), v0 + v1
(~ ((~ (v0 | (v0 & (~ v1)))) + (- v1))), v0 + v1
(v0 + ((~ v1) + (- (~ (v1 + v1))))), v0 + v1
((~ (((~ v0) + (- v1)) ^ v1)) ^ v1), v0 + v1
((~ (v0 + v1)) ^ (~ (v1 & (~ v1)))), v0 + v1
((v0 + v1) ^ (~ (v1 + (~ v1)))), v0 + v1
(v0 + ((~ v0) + (- ((- v0) + (~ v1))))), v0 + v1
(~ ((v0 ^ (~ (v0 & (~ v0)))) + (- v1))), v0 + v1
(v0 + (~ ((~ v0) ^ (v0 ^ v1)))), v0 + v1
((v0 | ((v0 ^ v1) ^ v1)) + v1), v0 + v1
(~ (((~ v0) + (- v0)) + (- ((- v0) + v1)))), v0 + v1
(~ (v0 + (- (v0 + (- ((- v0) + (~ v1))))))), v0 + v1
(- (((- v0) + (~ (v0 | (~ v0)))) + (- v1))), v0 + v1
(v0 + (- (v0 + (- (v0 + v1))))), v0 + v1
(~ ((- v0) + (v0 + ((- v0) + (~ v1))))), v0 + v1
(~ ((~ ((v0 ^ v1) ^ v1)) + (- v1))), v0 + v1
((v0 + v1) ^ (~ (v1 ^ (~ v1)))), v0 + v1
((- (((- v0) + v1) + (- v1))) + v1), v0 + v1
(~ ((v0 ^ (~ v0)) + (- (v0 + v1)))), v0 + v1
((v0 + v1) + (~ ((~ (v0 & v1)) | v1))), v0 + v1
(v0 + (- ((~ v1) + (- (v1 ^ (~ v1)))))), v0 + v1
(~ (((~ (v0 + v1)) + (- v1)) + v1)), v0 + v1
((~ ((- v0) + (~ v1))) & (v0 + v1)), v0 + v1
((v0 & (~ ((~ v0) & v1))) + v1), v0 + v1
(~ (((- v0) + (~ v1)) & (~ (v0 & (~ v0))))), v0 + v1
((- (v0 & (~ v0))) + (v0 + v1)), v0 + v1
(v0 + (v0 + ((~ v0) + (- (~ v1))))), v0 + v1
((v0 + (- (~ (v0 | (~ v0))))) + v1), v0 + v1
(~ ((~ (v0 & (v0 ^ (~ v0)))) + (- v1))), v0 + v1
((v0 | (v0 & (v0 | v1))) + v1), v0 + v1
((v0 | (~ ((~ v0) | v1))) + v1), v0 + v1
((v0 | (v0 | (v0 & v1))) + v1), v0 + v1
((v0 & (v0 | (v0 + (- v1)))) + v1), v0 + v1
(~ ((~ (v0 | (v0 & (- v1)))) + (- v1))), v0 + v1
(~ (v0 + (~ (v0 + (v0 + v1))))), v0 + v1
((~ (~ (v0 & (v0 | (- v1))))) + v1), v0 + v1
(~ ((- v0) + (~ ((v0 | (~ v0)) & v1)))), v0 + v1
((v0 + (- (~ (v1 ^ (~ v1))))) + v1), v0 + v1
(v0 + ((~ (v0 ^ (~ v0))) | v1)), v0 + v1
((~ (v0 + (~ v0))) + (v0 + v1)), v0 + v1
((v0 + (~ v1)) + (v1 + (- (~ v1)))), v0 + v1
(v0 + (- ((- v1) + (~ (v1 + (~ v1)))))), v0 + v1
(v0 + ((~ (v0 | (~ (v0 & v1)))) | v1)), v0 + v1
(v0 + (~ ((v0 ^ (~ v0)) + (- v1)))), v0 + v1
((~ (v0 ^ (v1 ^ (~ v1)))) + v1), v0 + v1
((~ ((v0 ^ (~ v1)) ^ v1)) + v1), v0 + v1
(~ (- (v0 + (- (~ ((v0 & v1) | v1)))))), v0 + v1
(~ ((~ (v0 + v1)) | (~ (v1 | (~ v1))))), v0 + v1
(v0 + (~ (~ ((v0 & v1) | v1)))), v0 + v1
(v0 + (- ((- v1) | (v1 & (~ v1))))), v0 + v1
(v0 + ((~ v0) ^ (~ (v0 ^ v1)))), v0 + v1
(((~ ((~ v0) + (- v1))) + (- v1)) + v1), v0 + v1
(v0 + ((v0 | (~ (v0 & v1))) & v1)), v0 + v1
((v0 | (~ ((~ (v0 | v1)) | v1))) + v1), v0 + v1
(v0 + (~ (~ ((v0 + (~ v0)) & v1)))), v0 + v1
(((~ v0) + v1) + (v0 + (- (~ v0)))), v0 + v1
(v0 + (~ (v1 ^ (v1 | (~ v1))))), v0 + v1
((- (~ v0)) + ((v0 + (~ v0)) + v1)), v0 + v1
((- ((- v0) + (- v1))) + (v0 & (~ v0))), v0 + v1
(((v0 ^ v1) ^ v1) + v1), v0 + v1
(~ (v0 + (- (v0 + (v0 + (- (~ v1))))))), v0 + v1
(v0 + ((~ (~ (v0 | (~ v0)))) & v1)), v0 + v1
(~ ((~ v0) + (- ((v0 | v1) & v1)))), v0 + v1
(v0 + ((~ (~ (v0 & (~ v0)))) ^ v1)), v0 + v1
((v0 + (~ (v1 | (~ v1)))) + v1), v0 + v1
(v0 + ((~ ((~ v1) + (- v1))) + (- v1))), v0 + v1
(v0 + (v1 & (~ ((~ v1) & (- v1))))), v0 + v1
(~ ((v0 ^ (v0 | (~ v0))) + (- v1))), v0 + v1
(v0 + ((v0 | (v0 ^ v1)) & v1)), v0 + v1
(- ((((- v0) + (- v1)) + v1) + (- v1))), v0 + v1
(~ ((~ (v0 | (v0 & (~ v0)))) + (- v1))), v0 + v1
(v0 + ((- (~ (v0 | (~ v0)))) ^ v1)), v0 + v1
((v0 + v0) + (- (v0 + (- v1)))), v0 + v1
(v0 + (~ (v1 ^ (v1 ^ (~ v1))))), v0 + v1
(v0 + ((~ (~ ((- v0) & v1))) | v1)), v0 + v1
((~ (v0 | (~ v0))) + (v0 + v1)), v0 + v1
(- ((- v0) + (v1 + (- (v1 + v1))))), v0 + v1
(~ (v0 ^ (v0 ^ ((~ v0) + (- v1))))), v0 + v1
((v0 & (v0 | (~ (- v1)))) + v1), v0 + v1
(((~ (v0 + v1)) ^ (~ v1)) ^ v1), v0 + v1
((v0 & (v0 & (v0 | v1))) + v1), v0 + v1
(v0 + (v1 + (- (~ (v1 | (~ v1)))))), v0 + v1
(v0 + ((v0 ^ (~ v0)) ^ (~ v1))), v0 + v1
(- (v0 + (- (v0 + (- ((- v0) + (- v1))))))), v0 + v1
(((~ v0) + (- (~ (v0 + v0)))) + v1), v0 + v1
((~ ((- v0) + (~ (v0 & (~ v0))))) + v1), v0 + v1
(- ((- ((v0 ^ v1) ^ v1)) + (- v1))), v0 + v1
(v0 + ((- (~ v0)) + ((~ v0) + v1))), v0 + v1
(((v0 ^ (~ v1)) ^ (~ v1)) + v1), v0 + v1
((v0 | (~ (v1 | (~ v1)))) + v1), v0 + v1
(((~ ((~ v0) + v1)) + v1) + v1), v0 + v1
(((~ v0) + (- v1)) ^ (v1 + (~ v1))), v0 + v1
(~ ((~ v0) + (v0 + (- (v0 + v1))))), v0 + v1
(v0 + (((- v0) + (v0 | v1)) | v1)), v0 + v1
((v0 + (~ ((~ (v0 & v1)) | v1))) + v1), v0 + v1
(v0 + ((~ (v0 | (~ v1))) | v1)), v0 + v1
(v0 + (~ ((v0 | (~ v0)) + (- v1)))), v0 + v1
((~ ((~ v0) & (~ (v0 & (~ v1))))) + v1), v0 + v1
((v0 | (v0 ^ (v0 & v1))) + v1), v0 + v1
(v0 + ((~ (v0 | (~ v0))) | v1)), v0 + v1
((~ (- v0)) + (- (~ ((v0 & v1) | v1)))), v0 + v1
(v0 + (v1 | ((- v1) + (v1 + v1)))), v0 + v1
((~ (v0 & (~ v0))) ^ (~ (v0 + v1))), v0 + v1
((- (~ v0)) + ((v0 ^ (~ v0)) + v1)), v0 + v1
((v0 | (- (~ (v1 | (~ v1))))) + v1), v0 + v1
((v0 + v1) & (~ (v1 & (~ v1)))), v0 + v1
(v0 + ((~ v0) + (- ((~ v0) + (- v1))))), v0 + v1
((~ (~ (v0 & (~ (~ (v0 | v1)))))) + v1), v0 + v1
(~ ((- v0) + (~ ((~ (~ (v0 & v1))) | v1)))), v0 + v1
(v0 + (~ (~ (v1 | (v1 & (~ v1)))))), v0 + v1
((v0 + v1) ^ (- (v1 & (~ v1)))), v0 + v1
(~ (((~ v0) + (- v1)) & (v1 + (~ v1)))), v0 + v1
(v0 + (((- v0) & v1) | v1)), v0 + v1
(v0 + (v1 & (~ (~ (v1 | (~ v1)))))), v0 + v1
((~ (v0 & (~ v0))) + (- (~ (v0 + v1)))), v0 + v1
(v0 + (- ((- (~ v1)) + ((~ v1) + (- v1))))), v0 + v1
((~ v0) + (- (~ ((v0 + v0) + v1)))), v0 + v1
(v0 ^ (v0 ^ (v0 + v1))), v0 + v1
(~ ((((~ v0) ^ v1) ^ v1) + (- v1))), v0 + v1
(~ ((- v0) + (~ ((- v0) + (v0 + v1))))), v0 + v1
((v0 | ((~ (v0 | v1)) & v1)) + v1), v0 + v1
(((- v0) + (~ v1)) ^ (v0 ^ (~ v0))), v0 + v1
(~ ((- v0) + (v0 + ((~ v0) + (- v1))))), v0 + v1
(v0 + ((- v0) + (~ ((- v0) + (~ v1))))), v0 + v1
((v0 + (- (~ v1))) + (~ (v1 & (~ v1)))), v0 + v1
((v0 & (v0 & v1)) + (v0 | v1)), v0 + v1
((v0 & (v0 | (- v1))) + v1), v0 + v1
(v0 + ((v0 + (~ v0)) & v1)), v0 + v1
(((v0 + v1) + (- v1)) + v1), v0 + v1
((~ ((~ v0) + (- (v1 + v1)))) + (- v1)), v0 + v1
(~ ((~ (v0 & (v1 | (~ v1)))) + (- v1))), v0 + v1
((v0 & (v0 | (~ v1))) + v1), v0 + v1
(v0 + ((~ (~ (v0 & v1))) | v1)), v0 + v1
(v0 + ((v0 ^ (v0 ^ v1)) | v1)), v0 + v1
(v0 + (~ (~ ((~ (v0 | (~ v0))) | v1)))), v0 + v1
(v0 + (- (((~ (v0 | v1)) & v1) + (- v1)))), v0 + v1
(~ ((~ (v0 | (~ (~ (v0 & v1))))) + (- v1))), v0 + v1
(v0 + (- (~ (v0 + (~ (v0 + (- v1))))))), v0 + v1
(~ (v0 + (- (v0 + ((- (~ v0)) + v1))))), v0 + v1
(~ ((((~ v0) + (- v1)) + v1) + (- v1))), v0 + v1
((~ (~ (v0 & (v0 | v1)))) + v1), v0 + v1
(v0 + (- (~ (v1 + (v1 ^ (~ v1)))))), v0 + v1
(v0 + (((~ (v0 | v1)) + v1) & v1)), v0 + v1
(v0 + (- (((- (~ v0)) + (~ v1)) + (- v0)))), v0 + v1
(~ (v0 + ((~ (v0 + v0)) + (- v1)))), v0 + v1
(v0 + (v1 ^ (~ (v1 | (~ v1))))), v0 + v1
(~ ((- v0) + (~ ((v0 + (~ v0)) & v1)))), v0 + v1
(v0 + (- (~ ((v0 ^ (~ v0)) + v1)))), v0 + v1
(v0 + (v1 ^ (- (~ (v1 | (~ v1)))))), v0 + v1
((~ ((~ v0) & (~ (v0 & (- v1))))) + v1), v0 + v1
(- ((- ((v0 + (- v1)) + v1)) + (- v1))), v0 + v1
(v0 + ((~ (v0 + (~ v0))) ^ v1)), v0 + v1
(~ ((v0 ^ (~ v0)) & (~ (v0 + v1)))), v0 + v1
(v0 + (v1 + (~ (v1 | (~ v1))))), v0 + v1
(- ((~ (v0 | (~ v0))) + (- (v0 + v1)))), v0 + v1
((~ ((v0 + v1) ^ (~ v1))) ^ v1), v0 + v1
(v0 + (((v0 & v1) | v1) & v1)), v0 + v1
(~ ((~ v0) + (v1 + (- (v1 + v1))))), v0 + v1
(- ((((- v0) + (- v1)) + (- v1)) + v1)), v0 + v1
(v0 + (- ((~ v0) + (- ((~ v0) + v1))))), v0 + v1
((- ((~ v0) + (- v1))) + (v0 + (~ v0))), v0 + v1
(v0 + ((~ (v0 | (~ (v0 | v1)))) | v1)), v0 + v1
(~ (((- v0) + (~ v1)) | (~ (v0 | (~ v0))))), v0 + v1
((v0 & ((v0 + (- v1)) + v1)) + v1), v0 + v1
((v0 & (~ (v1 & (~ v1)))) + v1), v0 + v1
(- (v0 + (- ((v0 + v0) + v1)))), v0 + v1
(~ (v0 + (- ((v0 + (- (~ v0))) + v1)))), v0 + v1
((~ ((~ (v0 + (- v1))) + (- v1))) + v1), v0 + v1
(~ ((v0 ^ (v0 ^ (~ v0))) + (- v1))), v0 + v1
(v0 + (((v0 + v0) & v1) | v1)), v0 + v1
((v0 + (~ v1)) + (- ((~ v1) + (- v1)))), v0 + v1
((v0 | (~ (~ (v0 & (- v1))))) + v1), v0 + v1
((- (v0 & (~ (v0 | v1)))) + (v0 + v1)), v0 + v1
((v0 + (- (~ (v1 | (~ v1))))) + v1), v0 + v1
(~ (((- v0) + (~ (v0 & (~ v0)))) + (- v1))), v0 + v1
(v0 + (((~ (v0 | v1)) | v1) & v1)), v0 + v1
((~ v0) + (- ((~ (v0 + v0)) + (- v1)))), v0 + v1
(((- ((- v0) + (- v1))) + (- v1)) + v1), v0 + v1
((v0 | (~ (~ (v0 & (~ v1))))) + v1), v0 + v1
(v0 + (v0 + (~ (v0 + (~ v1))))), v0 + v1
((- ((- (v0 + v1)) + v1)) + v1), v0 + v1
((~ (v0 ^ (v0 ^ (~ v0)))) + v1), v0 + v1
(~ (v0 + (- ((- (~ (v0 + v0))) + v1)))), v0 + v1
(((- v0) + (~ v1)) ^ (~ (v0 & (~ v0)))), v0 + v1
((~ (~ (v0 & (~ v0)))) | (v0 + v1)), v0 + v1
(v0 + (- ((- v1) & (~ (v1 & (~ v1)))))), v0 + v1
(~ ((~ (v0 | (~ ((~ v0) | v1)))) + (- v1))), v0 + v1
(~ (~ ((v0 + v1) & (v1 | (~ v1))))), v0 + v1
((v0 & (~ (~ (v0 | (~ v1))))) + v1), v0 + v1
((~ (v0 | (~ v0))) | (v0 + v1)), v0 + v1
(~ ((~ (v0 | (v1 & (~ v1)))) + (- v1))), v0 + v1
(~ (((~ v0) + (- v1)) & (v0 | (~ v0)))), v0 + v1
((v0 & (~ ((v0 ^ v1) & v1))) + v1), v0 + v1
(v0 + (- (~ ((v0 | (~ v0)) + v1)))), v0 + v1
(v0 + (~ ((- v1) + (~ (v1 & (~ v1)))))), v0 + v1
(v0 + (((- (~ v0)) | v1) & v1)), v0 + v1
(v0 + (- (v1 + (- (v1 + v1))))), v0 + v1
((v0 + v1) + (~ (v1 ^ (~ v1)))), v0 + v1
(~ ((~ v0) ^ (v0 ^ (v0 + v1)))), v0 + v1
((~ (v0 ^ (v1 | (~ v1)))) + v1), v0 + v1
((- (~ v0)) + (v0 + ((~ v0) + v1))), v0 + v1
(v0 + ((- ((~ (v0 | v1)) & v1)) + v1)), v0 + v1
((~ ((- v0) + (v0 | (~ v0)))) + v1), v0 + v1
(v0 + ((v0 & (~ (v0 | v1))) + v1)), v0 + v1
(v0 + ((- v1) + (- ((- v1) + (- v1))))), v0 + v1
(v0 + (~ (v0 ^ (~ (v0 ^ v1))))), v0 + v1
(v0 + (v1 & ((- v1) + (v1 + v1)))), v0 + v1
((- v0) + (v0 + (~ ((- v0) + (~ v1))))), v0 + v1
((v0 | (~ (v1 + (~ v1)))) + v1), v0 + v1
